Categoria,ASPETTO,Sottogruppo_art,Filo,Materiale,Interno Filo,Dim Filo,Peso (g),Descrizione,Codice prodotto,CODICE_REACTO,Percorso
GRUMETTA,,,FILO TONDO,Ottone,Pieno,0.30,2.5,CATENA GRUMETTA OTTONE PIENO TONDO D0030MM EST0X SALDATA,ZGOT003000000SNND10347,00097-S EB,\\192.168.1.9\Marketing\CATALOGO\IMMAGINI OK/00097-S EB.jpg
GRUMETTA,,,FILO TONDO,Ottone,Pieno,0.35,3.6,CATENA GRUMETTA OTTONE PIENO TONDO D0035MM EST0X,ZGOT003500000NNND10348,00098 EB,\\192.168.1.9\Marketing\CATALOGO\IMMAGINI OK/00098 EB.jpg
GRUMETTA,,,FILO TONDO,Ottone,Pieno,0.40,5.5,CATENA GRUMETTA OTTONE PIENO TONDO D0040MM EST0X,ZGOT004000000NNND10350,00099 EB,\\192.168.1.9\Marketing\CATALOGO\IMMAGINI OK/00099 EB.jpg
GRUMETTA,,,FILO TONDO,Ottone,Pieno,0.50,6,CATENA GRUMETTA OTTONE PIENO TONDO D0050MM EST0X,ZGOT005000000NNND10024,00100 EB,\\192.168.1.9\Marketing\CATALOGO\IMMAGINI OK/00100 EB.jpg
GRUMETTA,,,FILO TONDO,Ottone,Pieno,0.60,9,CATENA GRUMETTA OTTONE PIENO TONDO D0060MM EST0X,ZGOT006000000NNND10351,00101 EB,\\192.168.1.9\Marketing\CATALOGO\IMMAGINI OK/00101 EB.jpg
GRUMETTA,,,FILO TONDO,Ottone,Pieno,0.80,17.5,CATENA GRUMETTA OTTONE PIENO TONDO D0080MM EST0X,ZGOT008000000NNND10025,00102 EB,\\192.168.1.9\Marketing\CATALOGO\IMMAGINI OK/00102 EB.jpg
GRUMETTA,,,FILO TONDO,Ottone,Pieno,1.00,20.6,CATENA GRUMETTA OTTONE PIENO TONDO D0100MM EST0X GODRONATO,ZGOT010000000NGND10213,11160 EB,\\192.168.1.9\Marketing\CATALOGO\IMMAGINI OK/11160 EB.jpg
GRUMETTA,,,FILO TONDO,Ottone,Pieno,1.00,23,CATENA GRUMETTA OTTONE PIENO TONDO D0100MM EST0X,ZGOT010000000NNND10069,11175 EB,\\192.168.1.9\Marketing\CATALOGO\IMMAGINI OK/11175 EB.jpg
GRUMETTA,,,FILO TONDO,Ottone,Pieno,1.00,30,CATENA GRUMETTA OTTONE PIENO TONDO D0100MM EST3.6X4.5MM (INT1.6X2.5MM),ZGOT010000000NNND10092,00103 EB,\\192.168.1.9\Marketing\CATALOGO\IMMAGINI OK/00103 EB.jpg
GRUMETTA,,,FILO TONDO,Ottone,Pieno,1.20,35,CATENA GRUMETTA OTTONE PIENO TONDO D0120MM EST0X,ZGOT012000000NNND10216,11172 EB,\\192.168.1.9\Marketing\CATALOGO\IMMAGINI OK/11172 EB.jpg
GRUMETTA,,,FILO TONDO,Ottone,Pieno,1.20,37.5,CATENA GRUMETTA OTTONE PIENO TONDO D0120MM EST0MM,ZGOT012000000NNND10449,11178 EB,\\192.168.1.9\Marketing\CATALOGO\IMMAGINI OK/11178 EB.jpg
GRUMETTA,,,FILO TONDO,Ottone,Pieno,1.20,39.3,CATENA GRUMETTA OTTONE PIENO TONDO D0120MM EST0X,ZGOT012000000NNND10027,00104 EB,\\192.168.1.9\Marketing\CATALOGO\IMMAGINI OK/00104 EB.jpg
GRUMETTA,,,FILO TONDO,Ottone,Pieno,1.50,46.3,CATENA GRUMETTA OTTONE PIENO TONDO D0150MM EST0X GODRONATO,ZGOT015000000NGND10201,11105G EB,\\192.168.1.9\Marketing\CATALOGO\IMMAGINI OK/11105G EB.jpg
GRUMETTA,,,FILO TONDO,Ottone,Pieno,1.50,61.42,CATENA GRUMETTA OTTONE PIENO TONDO D0150MM EST0X,ZGOT015000000NNND10017,00106 EB,\\192.168.1.9\Marketing\CATALOGO\IMMAGINI OK/00106 EB.jpg
GRUMETTA,,,FILO TONDO,Ottone,Pieno,1.50,68.9,CATENA GRUMETTA OTTONE PIENO TONDO D0150MM EST5.60X6.10MM,ZGOT015000000NNND10343,ZGOT015000000NNND10343,\\192.168.1.9\Marketing\CATALOGO\IMMAGINI OK/ZGOT015000000NNND10343.jpg
